video_path,start,end,label,clip_id
--0PQM4-hqg_000030.mp4,30,40,waterfall burbling,--0PQM4-hqg_000030
--56QUhyDQM_000185.mp4,185,195,playing tennis,--56QUhyDQM_000185
--5OkAjCI7g_000040.mp4,40,50,people belly laughing,--5OkAjCI7g_000040
--8puiAGLhs_000030.mp4,30,40,car engine starting,--8puiAGLhs_000030
--96EN9NUQM_000242.mp4,242,252,alarm clock ringing,--96EN9NUQM_000242
--9O4XZOge4_000030.mp4,30,40,"female speech, woman speaking",--9O4XZOge4_000030
--Aa4M484QM_000000.mp4,0,10,cricket chirping,--Aa4M484QM_000000
--Bu2xe4OSo_000430.mp4,430,440,wind noise,--Bu2xe4OSo_000430
--CC5pH97q4_000004.mp4,4,14,foghorn,--CC5pH97q4_000004
--CC5pH97q4_000033.mp4,33,43,foghorn,--CC5pH97q4_000033
