class_idx,class_name,ap,num_samples
137,Music,0.27765995247903497,1069
0,Speech,0.2518480393984499,926
504,Sound effect,0.08578758599007859,13
108,Wild animals,0.05786498080482997,9
134,Snake,0.05680780832244052,3
342,Skateboard,0.038937391265212416,15
300,Vehicle,0.0380681180957975,153
140,Guitar,0.03211890596703573,61
72,Animal,0.031865705910215765,151
389,Telephone,0.030933943251463657,13
138,Musical instrument,0.024497411493050958,91
506,"Inside, small room",0.021345006905337086,82
288,Water,0.021039854987785846,63
69,Crowd,0.02042978392881804,32
73,"Domestic animals, pets",0.020221757399204662,83
397,Civil defense siren,0.020203718698992637,12
307,Car,0.020094565564760268,64
372,Bathtub (filling or washing),0.019174254439478133,9
117,Crow,0.01859656380757132,13
301,"Boat, Water vehicle",0.01740813328643423,63
331,Train horn,0.016944960403094227,14
161,Percussion,0.016874511474715238,53
141,Electric guitar,0.016056190375658117,36
396,Siren,0.016020128801353884,38
275,Wedding music,0.01599343675963213,16
27,Singing,0.015876503058654436,63
164,Drum,0.015826435065668686,41
111,Bird,0.01573721497240091,46
3,"Child speech, kid speaking",0.015598101152029475,39
227,Soul music,0.014810546817755465,16
321,Bus,0.014803148462176051,12
474,Scratch,0.014437187256476514,12
101,"Crowing, cock-a-doodle-doo",0.014344230339755695,17
256,Music of Africa,0.01409134770396751,14
195,"Wind instrument, woodwind instrument",0.01385751375691429,42
122,"Canidae, dogs, wolves",0.0137415501761164,16
463,Effects unit,0.013521757430652719,31
502,Harmonic,0.013457690861252692,7
74,Dog,0.013275033742002848,53
37,Humming,0.013266958239075156,11
476,Rub,0.013034861226403818,40
98,Fowl,0.012760277805320696,39
427,"Gunshot, gunfire",0.012757984761719191,25
415,Printer,0.012598809582030268,12
521,Pink noise,0.012532826585456642,10
412,Mechanical fan,0.01244180214762413,17
87,Horse,0.012302606545386695,24
298,Fire,0.012179922851377312,13
283,Wind,0.012109024904180721,39
498,Boing,0.012089768803413437,12
332,"Railroad car, train wagon",0.011454152924608267,36
285,Wind noise (microphone),0.011217377209478668,34
162,Drum kit,0.011213445049516216,19
445,"Splash, splatter",0.011179855206422416,9
343,Engine,0.011147089198444149,42
322,Emergency vehicle,0.010917428439654908,26
81,Cat,0.010906294228622243,34
63,Clapping,0.010814987974305827,15
139,Plucked string instrument,0.010780001596585473,52
509,"Outside, urban or manmade",0.010701696471873304,43
437,Wood,0.010605387273195474,43
85,Caterwaul,0.010410778382487678,24
185,Brass instrument,0.010354317473549398,46
112,"Bird vocalization, bird call, bird song",0.010212663582263614,34
328,Rail transport,0.010094947050399344,35
234,Middle Eastern music,0.010069618616867693,8
329,Train,0.010026924815774184,34
313,Tire squeal,0.010011831582382757,11
517,Distortion,0.009978548950174596,27
325,"Fire engine, fire truck (siren)",0.00996394765056753,12
96,Bleat,0.009954277208256,12
340,"Fixed-wing aircraft, airplane",0.009883566925711174,15
235,Jazz,0.00987683931054481,20
261,Carnatic music,0.00981986242018372,13
334,"Subway, metro, underground",0.009809147183797166,15
215,Scratching (performance technique),0.009618014526694658,10
28,Choir,0.009502575212620386,21
510,"Outside, rural or natural",0.009300439724752148,32
95,Goat,0.00912616986858872,8
525,Radio,0.009057351829978135,19
520,White noise,0.009018265751716112,13
33,Female singing,0.009015551320633362,21
192,Pizzicato,0.008910074218724619,31
496,Hum,0.008781010030188751,15
486,Creak,0.008731290918935363,10
488,Whir,0.008688820656550331,11
353,"Accelerating, revving, vroom",0.008516694612034695,30
433,Firecracker,0.008266641270764851,9
221,Punk rock,0.008242605184986724,13
383,Shuffling cards,0.008239375585517603,13
245,Electronic dance music,0.008005741144330551,21
86,"Livestock, farm animals, working animals",0.007980541348169628,30
61,Hands,0.007973465068939763,13
168,Bass drum,0.007871404425191214,19
284,Rustling leaves,0.007784409790884789,10
42,Wheeze,0.007741049745227414,13
199,Harp,0.007644161599954859,13
167,Drum roll,0.007537444372275395,12
121,"Bird flight, flapping wings",0.007527397885620442,11
229,Country,0.0074926035658312105,8
492,Clickety-clack,0.007487418972688083,17
126,Insect,0.007485517341666023,27
379,Keys jangling,0.0074619129651299675,19
191,"Violin, fiddle",0.007454533878444193,10
335,Aircraft,0.0073958201055919865,23
264,Traditional music,0.0073879934871301225,14
377,Vacuum cleaner,0.007326265810247305,14
166,Rimshot,0.0072458819438758065,18
45,Pant,0.007243088096377576,12
258,Christian music,0.007204261635705231,5
407,Tick,0.007162156254329446,16
411,Sewing machine,0.0070625372043732,13
31,Mantra,0.007009775815350789,17
152,Keyboard (musical),0.006993614754447906,30
302,"Sailboat, sailing ship",0.006958179207912896,10
514,Environmental noise,0.006948964783838799,14
84,Hiss,0.006856771096613765,15
464,Chorus effect,0.006813099352508362,12
187,Trumpet,0.0067915561394332104,12
378,Zipper (clothing),0.0067551050455873,9
312,Skidding,0.006713669217243167,13
426,Explosion,0.006705004175976903,14
419,Hammer,0.006660434838682432,16
260,Music of Asia,0.006581152914795385,14
144,"Steel guitar, slide guitar",0.006519141460270618,14
219,Rock music,0.0065118185920430135,16
90,"Cattle, bovinae",0.00638836302443046,19
423,Sanding,0.006374381944487182,18
136,Whale vocalization,0.006371725520841651,13
304,"Motorboat, speedboat",0.006367728295459966,21
495,"Jingle, tinkle",0.00629644497980834,11
350,Engine knocking,0.006251306909179562,11
223,Progressive rock,0.006248680173439276,14
66,Cheering,0.0062478825316660425,16
339,Helicopter,0.006221070231644013,13
225,Psychedelic rock,0.00621286624154038,13
296,Steam,0.00621281033961817,16
88,Clip-clop,0.006211088194685117,24
77,Howl,0.0061960906654723,14
129,"Fly, housefly",0.006185526887478348,22
305,Ship,0.006170052406866407,21
197,Saxophone,0.006151705492456592,16
434,"Burst, pop",0.006086286375337213,18
403,Steam whistle,0.006077646809489565,19
165,Snare drum,0.006051269250816392,17
21,"Chuckle, chortle",0.006030070161987388,9
237,Classical music,0.006007353118894493,11
91,Moo,0.005992623178625502,18
393,Dial tone,0.005941507803060707,16
477,Roll,0.005940011989367314,10
484,Clang,0.005908894244635374,10
276,Happy music,0.005893969469398144,16
333,Train wheels squealing,0.005890324925554294,10
32,Male singing,0.005841953133271013,21
80,Whimper (dog),0.005832620920555924,18
404,Mechanisms,0.005825176476839765,16
356,Ding-dong,0.005822155655295175,8
365,"Cutlery, silverware",0.005817134828699605,15
388,Alarm,0.005791165354109206,13
454,Pump (liquid),0.005766537812005962,15
363,Drawer open or close,0.005757652989086164,17
274,Dance music,0.005694621587578802,22
233,Folk music,0.005673810272118262,12
262,Music of Bollywood,0.005667945307832896,7
349,Heavy engine (low frequency),0.005647418367009818,12
289,Rain,0.00563832442330111,16
418,Tools,0.0056255933036103815,20
119,Owl,0.005590052574077431,16
155,Organ,0.005585466843390417,21
131,"Bee, wasp, etc.",0.005556590810053028,14
266,Song,0.005548223187359999,23
421,Sawing,0.005537072169797835,14
461,Thunk,0.005499277311771943,6
240,House music,0.00549349163763241,15
473,Flap,0.005476179262531279,10
364,"Dishes, pots, and pans",0.00545818500937075,14
153,Piano,0.0054358485745537016,14
175,Rattle (instrument),0.005396971156715839,8
435,Eruption,0.0053620313572178445,15
303,"Rowboat, canoe, kayak",0.005322738627849096,15
113,"Chirp, tweet",0.005307251704013748,12
507,"Inside, large room or hall",0.005298795982766776,24
380,Coin (dropping),0.00528131475534648,15
82,Purr,0.0052641200345952275,16
391,Ringtone,0.005258867120587485,10
512,Echo,0.005254670341586061,17
145,Tapping (guitar technique),0.005252884574322292,16
50,Sniff,0.005228984654200073,18
173,Wood block,0.005218415570805757,13
22,"Crying, sobbing",0.0052115546303913105,5
83,Meow,0.005164978982920836,18
34,Child singing,0.005155717829369862,16
70,"Hubbub, speech noise, speech babble",0.00514526866531985,12
456,Boiling,0.005141970668434904,11
310,Car alarm,0.005118287965089062,16
352,Idling,0.005076497025030383,21
170,Tabla,0.005043893530090893,16
99,"Chicken, rooster",0.00502759428964286,20
7,Speech synthesizer,0.004990304237092385,7
222,Grunge,0.0049894274117412455,13
171,Cymbal,0.004967067561518738,19
48,Throat clearing,0.004961712246006394,9
450,"Trickle, dribble",0.004949856422422254,18
159,Sampler,0.00494940561285593,11
36,Rapping,0.004939456247782449,12
479,"Crumpling, crinkling",0.004939398669119706,10
232,Funk,0.004936154692925963,17
422,Filing (rasp),0.004927696598547333,17
371,Sink (filling or washing),0.004926231736054798,18
17,Baby laughter,0.004895680992201385,11
25,"Wail, moan",0.004878128889441719,11
186,French horn,0.004872117663429239,14
384,Typing,0.00486086346429695,11
201,Church bell,0.00483819524011867,10
273,Christmas music,0.004825258756695734,10
451,Gush,0.004824339005249695,16
376,Electric toothbrush,0.004781911930477365,12
243,Drum and bass,0.004780502647676469,14
459,"Whoosh, swoosh, swish",0.00476330528488525,12
336,Aircraft engine,0.004725932136942802,13
150,Zither,0.004715173832551607,13
242,Dubstep,0.004702890220305971,18
182,Vibraphone,0.004683719848926997,15
268,Theme music,0.004669812052032048,11
361,Squeak,0.004663369897345973,16
425,Drill,0.0046182467358399275,12
487,Rustle,0.0046127735871033795,12
254,Vocal music,0.004609325291218224,14
220,Heavy metal,0.004572041077068237,8
160,Harpsichord,0.004571586636852918,16
326,Motorcycle,0.004554121729109608,11
315,"Race car, auto racing",0.004544867559753921,14
436,Boom,0.004508538384156137,14
217,Hip hop music,0.00450454955570202,12
319,Reversing beeps,0.004481817302521196,18
387,Writing,0.004467916606257596,7
480,Tearing,0.004456347177135589,10
216,Pop music,0.004425352024265731,10
293,Waterfall,0.004417989902889968,14
270,Soundtrack music,0.0044168698104241075,11
236,Disco,0.004390792572911792,16
489,Clatter,0.0043833389949198085,17
183,Steelpan,0.004381766009833467,17
12,Battle cry,0.00438011741385164,13
132,Frog,0.004354409104728529,10
282,Scary music,0.004326970554591894,10
374,Toilet flush,0.004318004520620509,14
241,Techno,0.004314033836388337,16
239,Electronic music,0.004276444928119049,12
351,Engine starting,0.004275906132532646,13
511,Reverberation,0.004274743380479273,16
9,Bellow,0.004255420762437419,15
135,Rattle,0.004218794800391862,14
448,Drip,0.004212538015254703,15
4,Conversation,0.004210886898788081,13
330,Train whistle,0.004210691965441585,13
29,Yodeling,0.004188638053204933,9
453,Spray,0.004187680252582369,10
409,Gears,0.004186109393004168,8
429,Fusillade,0.004153998369104017,6
417,Single-lens reflex camera,0.004150649137868538,16
413,Air conditioning,0.004137124414669339,14
513,Noise,0.004124809595816702,11
226,Rhythm and blues,0.004107144730690709,17
306,Motor vehicle (road),0.004091409237339442,11
41,Breathing,0.004057140230215189,8
271,Lullaby,0.004051282806707088,11
125,Patter,0.0040502617256532175,14
345,"Dental drill, dentist's drill",0.00404814686232672,16
452,Fill (with liquid),0.004019896397268758,12
519,Cacophony,0.004017691086715609,10
205,Chime,0.003994457339502962,13
446,Slosh,0.003984102052583119,9
251,Blues,0.003980707254565615,18
180,"Marimba, xylophone",0.003962459077043769,12
366,Chopping (food),0.0039612635136556905,15
172,Hi-hat,0.00394344646539652,16
124,Mouse,0.003937584665321306,10
516,Mains hum,0.003935338889979465,11
386,Computer keyboard,0.003933531877929827,10
143,Acoustic guitar,0.003933289468232708,19
503,Chirp tone,0.003922273460361138,11
357,Sliding door,0.003901699919158758,12
163,Drum machine,0.003897335957015885,13
204,Tuning fork,0.003888274494829185,13
65,Heart murmur,0.0038865405934395787,14
297,Gurgling,0.0038805135449439393,16
147,Banjo,0.0038786085739713565,16
97,Sheep,0.00382694219115325,10
94,Oink,0.0038173888677877793,4
381,Scissors,0.0038140284121965895,14
51,Run,0.0038136832569039087,16
198,Clarinet,0.003809481211686226,18
455,Stir,0.0038050157067816173,16
457,Sonar,0.0038003623469839635,13
524,Television,0.003760886459312944,14
354,Door,0.0037395986616368523,14
490,Sizzle,0.0037347536099246468,16
416,Camera,0.003722526113973547,14
468,"Whack, thwack",0.0037216870137505025,13
157,Hammond organ,0.0037125884404629055,12
348,Medium engine (mid frequency),0.0037043796671128826,14
431,Cap gun,0.003699103636437286,10
281,Angry music,0.003677403908188635,9
255,A capella,0.003665823888032957,17
55,Biting,0.003663586374190281,15
401,Foghorn,0.0036563977894817938,13
58,"Burping, eructation",0.0036470308552778215,10
78,Bow-wow,0.0036383757863736755,14
295,"Waves, surf",0.0036370702364483237,9
408,Tick-tock,0.003623385946152254,6
465,Basketball bounce,0.00361971655755603,12
324,Ambulance (siren),0.003618675531509889,11
368,Microwave oven,0.0036186300564286238,13
79,Growling,0.003611363637134075,14
189,Bowed string instrument,0.0036001722916662203,17
522,Throbbing,0.003591650730423829,11
458,Arrow,0.0035872028619214724,15
402,Whistle,0.003584896923581592,12
30,Chant,0.0035844016139110813,15
291,Rain on surface,0.003579736455156788,10
390,Telephone bell ringing,0.003579371405413217,11
59,Hiccup,0.0035749508163550967,11
501,Sine wave,0.0035716790263343482,13
257,Afrobeat,0.0035703844021998474,9
475,Scrape,0.003563160340807326,12
439,Splinter,0.0035590330033029305,12
19,Snicker,0.0035572603358160664,10
327,"Traffic noise, roadway noise",0.0035357210159452533,12
358,Slam,0.00352977359497603,8
100,Cluck,0.003529421649392272,13
469,"Smash, crash",0.0035272836674754464,16
370,"Water tap, faucet",0.003518261689956716,16
337,Jet engine,0.0035141025761181335,14
317,Air brake,0.003507127784937634,13
13,Children shouting,0.0034912181055514794,14
60,Fart,0.0034899724610386812,11
314,Car passing by,0.0034870760849637916,11
500,Silence,0.0034543065482914707,8
299,Crackle,0.003448615289557675,10
151,Ukulele,0.00344082641497818,10
316,Truck,0.0034347624066215134,17
202,Jingle bell,0.0034324218118140046,12
497,Zing,0.003395680345056367,12
120,Hoot,0.0033939911075286846,16
424,Power tool,0.003383823626738191,14
309,Toot,0.003376584186866152,10
467,"Slap, smack",0.003363711995469549,15
398,Buzzer,0.0033591197370097517,11
11,Yell,0.00332242725258623,13
2,"Female speech, woman speaking",0.003319838170706654,12
16,Laughter,0.003310461044061505,15
184,Orchestra,0.003310388848839622,13
102,Turkey,0.00327101324988418,8
207,Change ringing (campanology),0.003265630799988554,11
280,Exciting music,0.003261207977873052,10
174,Tambourine,0.003232753867441892,10
211,Didgeridoo,0.0032274130678293872,14
52,Shuffle,0.003224134683090107,13
518,Sidetone,0.0032211351383145165,13
212,Shofar,0.0032077570254886115,12
47,Cough,0.0032046101259942724,11
375,Toothbrush,0.0032003737548392842,10
399,"Smoke detector, smoke alarm",0.003195743559036902,12
460,"Thump, thud",0.003167364196992851,9
76,Yip,0.003143850187697075,14
472,Whip,0.0031421640622781486,12
382,"Electric shaver, electric razor",0.0031341643778258496,9
263,Ska,0.003128461911615239,12
466,Bang,0.003109319360391334,11
40,Whistling,0.0031056187835398733,10
483,Ding,0.0030882172127959925,11
278,Sad music,0.003072854488868665,9
146,Strum,0.003071528179965281,10
26,Sigh,0.003066812282874374,9
6,Babbling,0.0030643506857481128,11
290,Raindrop,0.0030470921206329675,12
206,Wind chime,0.003037882764966913,14
10,Whoop,0.003034934789145971,10
311,"Power windows, electric windows",0.003034032679190996,11
35,Synthetic singing,0.003020452291209658,9
441,Glass,0.0030132748811876955,7
177,Gong,0.0030099926350403323,13
341,Bicycle,0.003005648256579736,6
344,Light engine (high frequency),0.0029741448253995276,11
338,"Propeller, airscrew",0.002972408485907849,11
373,Hair dryer,0.0029695595000618874,12
252,Music for children,0.0029619640605677384,12
238,Opera,0.002953787209533144,14
224,Rock and roll,0.0029346277033153374,11
92,Cowbell,0.0029344939122749984,11
5,"Narration, monologue",0.0029199533871476103,5
440,Crack,0.0029085201628806,11
394,Busy signal,0.002907073142195375,12
230,Swing music,0.002899370361760558,10
148,Sitar,0.002897448020796373,10
471,Bouncing,0.0028966038087073942,12
89,"Neigh, whinny",0.0028920898033332897,12
286,Thunderstorm,0.00288870212977492,9
67,Applause,0.0028663425298760784,11
277,Funny music,0.0028602732628902968,12
128,Mosquito,0.002860056829004869,9
64,"Heart sounds, heartbeat",0.002848198071958374,11
272,Video game music,0.0028479573455174817,9
369,Blender,0.002844181252893814,8
244,Electronica,0.0028394726635007175,14
176,Maraca,0.002838748301717624,10
103,Gobble,0.0028351122046745532,8
318,"Air horn, truck horn",0.0028047117017358097,8
294,Ocean,0.002800411985570023,11
267,Background music,0.002783386105993762,11
20,Belly laugh,0.0027822573369439886,10
107,Honk,0.002767504109952269,7
462,Electronic tuner,0.002761961791535175,9
214,Singing bowl,0.0027551658411881026,5
53,"Walk, footsteps",0.0027550687577676232,8
470,Breaking,0.0027493025308944624,8
54,"Chewing, mastication",0.0027454449165759945,7
231,Bluegrass,0.002737752050351129,11
360,Tap,0.0027302023531302756,12
443,Shatter,0.0027174426205611403,11
210,Bagpipes,0.0027154310497236166,10
39,Grunt,0.002698747286622043,12
106,Goose,0.0026941022062555117,8
248,Music of Latin America,0.0026897291647508766,12
169,Timpani,0.0026890907626783552,8
491,Clicking,0.002688625412183506,10
75,Bark,0.0026650387937680615,12
494,Plop,0.0026558309034821126,12
444,Liquid,0.0026513959823977243,8
287,Thunder,0.0026411871251443937,9
420,Jackhammer,0.002638482719442288,12
400,Fire alarm,0.0026339413371901784,12
71,Children playing,0.002621044673987525,11
142,Bass guitar,0.0025967127308104596,8
158,Synthesizer,0.0025946636397311453,10
213,Theremin,0.0025886838717923922,11
367,Frying (food),0.002581009689415543,14
149,Mandolin,0.0025397980881080506,11
346,Lawn mower,0.002533599351786387,10
123,"Rodents, rats, mice",0.002487607068760607,13
259,Gospel music,0.0024859010062260717,9
209,Accordion,0.0024834207151676804,9
38,Groan,0.0024823193093477004,11
442,"Chink, clink",0.002457959740535655,10
130,Buzz,0.0024474912585819423,6
359,Knock,0.0024396224030183065,11
23,"Baby cry, infant cry",0.0024346366131453696,5
115,"Pigeon, dove",0.002412794022578472,10
355,Doorbell,0.0024033729624530604,8
228,Reggae,0.0024030177638049177,11
265,Independent music,0.0023934909772616144,9
247,Trance music,0.0023783692165544315,8
194,Double bass,0.002371561189576944,9
438,Chop,0.0023705551279012914,9
44,Gasp,0.002370541385290047,7
218,Beatboxing,0.002355580273523154,7
49,Sneeze,0.0023463834260418525,9
196,Flute,0.002346356114096721,8
133,Croak,0.0023403745472836425,10
523,Vibration,0.002318117649002506,8
8,Shout,0.002297099372262419,10
110,Roar,0.002294391961999323,9
246,Ambient music,0.0022894790948713847,8
405,"Ratchet, pawl",0.002286169281996132,7
493,Rumble,0.0022813577635302416,10
203,Bicycle bell,0.0022777110534691987,11
410,Pulleys,0.0022586734176487998,7
24,Whimper,0.002256894680610451,8
362,Cupboard open or close,0.0022537561161102607,11
18,Giggle,0.0022425391872003954,9
406,Clock,0.0022391722567382654,8
347,Chainsaw,0.0022371605483692625,9
